hour,day,temperature,rain,availability_percentage,congestion_level
7,4,31.8,0,42.35,1
20,5,27.9,1,100.0,0
15,3,44.0,0,86.23,0
12,5,33.1,0,83.04,0
17,3,37.5,0,100.0,0
14,6,43.1,0,88.77,0
20,3,32.7,1,100.0,0
23,0,15.4,1,96.74,0
12,3,16.0,1,100.0,0
8,3,36.1,1,51.2,1
14,1,23.4,1,100.0,0
12,2,32.4,1,82.3,0
0,5,21.1,0,79.29,0
6,5,23.1,0,51.2,1
8,6,30.1,0,55.81,1
23,6,44.3,0,83.78,0
0,3,33.5,1,87.34,0
11,4,43.1,0,71.34,0
7,5,43.8,0,54.14,1
23,6,21.2,1,89.39,0
10,3,24.3,0,58.91,1
18,6,38.1,0,100.0,0
16,0,41.0,1,100.0,0
7,0,30.6,0,55.22,1
2,6,44.8,0,55.22,1
2,0,15.3,1,71.65,0
0,6,24.0,0,80.14,0
4,3,33.7,0,61.74,1
9,1,29.1,0,69.6,0
6,4,18.5,0,47.74,1
8,3,26.0,0,44.23,1
6,1,15.8,1,56.4,1
8,1,34.3,0,52.55,1
7,5,41.8,0,47.28,1
11,3,41.5,0,68.35,0
1,3,36.0,1,79.52,0
0,6,29.0,1,83.29,0
15,1,30.4,1,100.0,0
22,1,19.1,0,100.0,0
22,1,25.2,0,97.53,0
23,6,20.6,0,93.95,0
4,5,39.6,0,42.59,1
2,3,42.4,0,61.84,1
11,1,31.1,1,78.05,0
7,0,36.8,0,48.14,1
21,3,18.6,0,100.0,0
2,6,33.3,1,71.33,0
0,5,36.1,1,83.79,0
2,0,28.6,1,70.16,0
4,6,22.3,1,59.69,1
14,2,41.3,1,95.16,0
13,3,37.3,0,81.75,0
2,2,42.0,0,59.02,1
0,6,39.6,0,72.44,0
4,6,44.7,0,47.67,1
22,6,20.8,0,99.59,0
13,1,17.6,1,100.0,0
6,5,25.1,0,51.21,1
8,1,18.9,0,56.96,1
14,5,30.7,1,100.0,0
14,4,34.0,1,100.0,0
9,1,32.3,0,56.96,1
12,2,22.8,0,84.48,0
18,5,42.3,1,100.0,0
6,1,15.6,0,51.19,1
16,3,25.4,1,100.0,0
19,6,36.6,0,96.65,0
3,5,38.0,1,66.69,0
4,5,27.5,1,53.8,1
22,1,15.5,1,100.0,0
6,4,33.5,0,53.08,1
12,1,16.9,1,86.8,0
14,2,18.2,1,100.0,0
10,2,34.5,0,67.87,0
3,5,24.4,0,69.72,0
12,5,25.4,0,81.29,0
6,1,29.6,1,56.02,1
18,2,44.4,1,100.0,0
21,2,44.0,1,100.0,0
1,4,27.5,0,66.26,0
9,3,23.0,0,55.29,1
12,4,24.1,1,86.71,0
20,0,23.1,0,100.0,0
5,6,31.0,0,57.04,1
11,4,33.2,1,75.23,0
11,1,29.7,1,84.98,0
19,3,27.2,0,100.0,0
10,1,21.3,1,73.65,0
22,6,29.5,0,93.82,0
6,0,25.2,0,44.87,1
0,3,31.2,1,76.16,0
0,5,35.3,1,81.25,0
19,2,34.0,0,100.0,0
12,4,28.9,0,75.9,0
8,1,31.7,1,62.32,1
2,0,23.5,0,64.91,1
6,2,15.7,0,49.35,1
5,4,33.8,0,48.72,1
7,2,22.6,0,50.09,1
8,4,35.1,0,60.73,1
4,5,37.4,1,55.22,1
0,3,42.5,0,71.67,0
18,2,43.7,0,100.0,0
9,2,15.3,1,71.82,0
11,2,44.7,1,73.35,0
23,3,35.5,1,87.14,0
14,0,34.3,0,97.54,0
21,4,15.5,0,98.26,0
23,5,40.8,1,92.98,0
8,2,19.4,1,63.46,1
19,6,40.1,1,100.0,0
16,3,15.5,1,100.0,0
16,0,34.4,1,100.0,0
19,4,28.0,0,100.0,0
11,3,21.0,1,74.34,0
6,5,18.2,0,55.66,1
1,5,28.2,0,71.3,0
2,4,18.7,1,69.03,0
16,2,29.6,1,100.0,0
4,5,33.8,1,53.09,1
16,0,39.8,1,100.0,0
23,3,35.4,1,90.82,0
16,0,17.0,0,100.0,0
16,2,24.2,1,100.0,0
1,0,23.6,1,79.05,0
1,0,42.5,0,61.42,1
21,1,41.0,1,100.0,0
22,0,26.1,1,100.0,0
4,4,17.1,1,68.31,0
0,3,41.8,0,73.22,0
0,1,41.6,1,79.99,0
18,3,40.6,1,100.0,0
1,3,40.4,1,76.53,0
20,2,29.4,1,100.0,0
11,2,20.3,0,73.94,0
5,1,29.3,1,58.17,1
22,5,29.8,0,93.52,0
3,6,29.7,1,70.84,0
22,2,31.2,1,92.02,0
10,6,22.7,1,64.57,1
23,2,26.0,0,85.4,0
16,2,28.0,1,100.0,0
5,3,18.9,1,51.71,1
23,1,28.7,0,79.63,0
4,3,39.3,1,61.57,1
19,4,39.8,1,100.0,0
1,3,27.3,1,76.82,0
5,6,30.6,1,56.13,1
21,6,16.0,0,100.0,0
10,4,35.2,0,64.01,1
15,0,27.1,0,100.0,0
15,0,28.4,1,100.0,0
0,4,41.2,1,84.63,0
8,4,28.9,1,59.04,1
5,3,15.6,1,68.59,0
15,4,21.8,0,100.0,0
2,1,29.3,1,75.26,0
19,0,27.7,0,100.0,0
3,0,40.8,1,56.94,1
18,5,31.3,1,100.0,0
2,4,35.7,0,67.27,0
18,2,29.1,1,100.0,0
19,2,28.2,0,100.0,0
6,4,28.4,0,58.96,1
19,1,27.3,1,100.0,0
8,2,31.2,0,48.68,1
0,5,22.5,0,78.31,0
7,6,41.7,1,41.99,1
6,4,25.0,0,50.54,1
17,1,19.4,0,100.0,0
7,1,17.9,1,59.9,1
0,3,15.4,0,76.52,0
10,1,27.7,1,68.91,0
17,2,20.6,0,100.0,0
22,6,15.6,1,100.0,0
9,2,30.6,1,67.59,0
2,4,35.4,1,66.65,0
6,6,17.6,1,56.99,1
15,4,28.8,1,100.0,0
15,1,37.3,0,96.05,0
19,5,44.6,1,100.0,0
16,0,35.0,1,100.0,0
1,6,22.3,0,82.29,0
0,3,36.5,1,84.23,0
15,0,32.9,0,90.53,0
11,1,21.4,0,78.03,0
4,1,40.5,1,57.13,1
4,0,27.8,0,57.1,1
22,3,43.9,0,100.0,0
8,6,36.7,0,50.71,1
8,6,34.3,1,49.96,1
2,0,36.9,0,69.28,0
18,4,29.3,1,100.0,0
15,2,30.2,1,100.0,0
15,5,40.5,0,98.26,0
2,4,35.4,1,63.88,1
19,6,41.9,0,100.0,0
23,2,41.7,0,83.57,0
21,5,44.3,1,100.0,0
23,5,36.0,1,78.85,0
0,5,30.1,1,85.42,0
23,1,20.0,0,86.16,0
19,5,36.2,0,100.0,0
10,3,23.7,0,70.28,0
16,0,23.5,1,100.0,0
7,6,22.1,0,55.09,1
3,3,41.3,0,49.12,1
5,0,41.0,0,53.64,1
7,4,33.9,0,45.46,1
19,4,29.2,1,100.0,0
2,0,35.2,0,60.2,1
15,3,33.2,1,100.0,0
2,0,27.5,0,66.27,0
17,5,26.4,0,100.0,0
13,1,26.5,0,87.04,0
17,6,32.7,1,100.0,0
1,4,34.4,1,80.02,0
21,6,28.6,1,100.0,0
2,1,44.1,0,67.3,0
15,5,17.5,0,100.0,0
8,5,25.4,1,68.61,0
3,4,27.6,0,59.12,1
0,4,15.5,0,82.89,0
3,5,25.9,1,69.94,0
0,2,23.2,0,83.3,0
13,6,30.2,0,90.5,0
20,1,25.1,0,100.0,0
15,6,36.8,1,100.0,0
19,1,30.3,0,100.0,0
23,2,18.9,1,100.0,0
7,3,37.5,0,41.97,1
6,1,18.0,1,52.79,1
2,6,40.2,1,63.21,1
16,0,42.9,1,100.0,0
0,5,24.7,1,79.93,0
15,5,42.8,0,100.0,0
11,2,38.8,1,72.41,0
18,1,42.7,0,100.0,0
21,3,35.0,0,100.0,0
22,1,22.1,1,99.41,0
21,5,41.8,0,93.83,0
13,4,20.5,0,94.34,0
5,0,21.4,0,54.09,1
5,2,23.1,0,54.93,1
12,4,24.1,1,93.41,0
18,6,30.4,0,100.0,0
21,3,36.4,0,93.96,0
7,4,42.8,0,41.03,1
1,6,17.7,0,75.05,0
20,4,43.6,0,100.0,0
0,3,42.6,1,85.53,0
14,4,16.6,0,100.0,0
0,2,25.8,1,93.2,0
4,5,39.4,0,47.7,1
15,1,33.3,1,100.0,0
18,4,38.4,0,98.42,0
3,2,36.6,0,56.83,1
2,1,29.9,1,74.45,0
16,6,16.2,1,100.0,0
16,1,32.5,1,100.0,0
11,6,16.5,0,85.73,0
13,4,33.1,1,88.31,0
20,2,39.0,1,100.0,0
5,5,32.5,1,52.93,1
2,4,44.9,0,53.86,1
8,6,28.7,0,58.93,1
4,3,37.5,0,43.03,1
23,1,35.0,1,96.88,0
16,4,44.7,0,100.0,0
13,6,36.4,0,84.5,0
20,1,19.9,0,100.0,0
2,6,43.7,0,63.17,1
0,2,35.0,1,80.28,0
19,0,16.8,0,100.0,0
20,4,34.7,1,100.0,0
22,5,41.5,1,85.8,0
0,4,32.3,1,87.39,0
2,1,25.6,1,83.5,0
17,2,39.6,1,100.0,0
9,6,38.5,1,61.01,1
21,3,31.3,0,98.83,0
2,5,19.6,1,71.28,0
7,2,22.5,0,51.28,1
13,4,37.2,1,91.61,0
23,3,39.2,0,73.08,0
17,2,23.4,1,100.0,0
14,0,26.0,0,98.44,0
21,5,17.3,0,100.0,0
22,1,36.4,1,93.15,0
1,2,15.1,1,76.64,0
9,2,16.4,1,65.08,0
1,0,15.1,1,79.6,0
16,4,34.4,0,100.0,0
7,6,27.5,0,46.42,1
0,6,23.9,1,90.64,0
8,5,42.4,1,58.26,1
10,5,20.8,0,66.72,0
21,1,26.7,1,100.0,0
15,2,43.2,0,99.46,0
6,3,27.8,1,49.38,1
9,2,31.6,1,60.33,1
22,6,17.4,0,100.0,0
2,1,38.7,0,59.4,1
17,2,27.7,1,100.0,0
23,0,39.0,0,90.87,0
12,6,22.6,1,87.08,0
6,2,27.7,0,47.67,1
3,2,38.6,1,57.61,1
12,6,44.2,1,78.91,0
19,3,16.8,1,100.0,0
0,6,39.4,0,81.51,0
7,0,24.0,0,49.88,1
13,0,31.5,0,86.43,0
15,2,23.7,0,100.0,0
13,5,33.4,1,90.09,0
11,3,25.6,0,71.33,0
18,2,25.0,0,100.0,0
22,6,16.1,0,100.0,0
14,2,19.4,1,100.0,0
1,1,42.5,0,76.79,0
1,1,44.9,0,68.58,0
22,5,38.4,1,100.0,0
21,3,23.6,1,100.0,0
18,4,27.1,1,100.0,0
21,1,37.2,1,100.0,0
21,4,44.1,1,100.0,0
16,0,28.7,1,100.0,0
19,1,39.9,1,100.0,0
9,1,44.3,0,52.77,1
5,3,41.2,1,45.59,1
14,5,21.8,1,100.0,0
21,4,15.2,1,100.0,0
10,6,29.8,1,75.5,0
4,1,30.9,1,64.64,1
0,1,21.0,0,81.1,0
7,3,23.5,0,63.5,1
20,3,38.0,0,98.23,0
11,5,29.1,0,65.5,0
11,4,24.5,0,67.67,0
4,0,33.7,0,47.06,1
6,6,34.6,0,52.42,1
3,5,38.1,1,69.77,0
5,0,19.7,1,67.73,0
12,2,37.2,1,73.4,0
19,1,33.0,1,100.0,0
14,4,16.7,1,100.0,0
2,5,38.3,1,72.49,0
22,1,26.5,0,92.89,0
7,4,24.9,1,58.39,1
19,4,28.4,1,100.0,0
15,4,25.4,1,100.0,0
12,1,25.1,0,74.14,0
17,5,39.2,0,100.0,0
9,6,18.7,0,58.62,1
18,3,44.1,1,100.0,0
16,1,31.6,1,100.0,0
23,4,20.5,1,93.82,0
18,5,18.9,0,100.0,0
22,6,32.7,0,100.0,0
4,2,34.0,1,53.5,1
20,0,16.6,0,100.0,0
22,4,22.3,1,96.88,0
8,2,38.9,0,49.06,1
11,3,16.5,0,72.65,0
20,6,40.7,0,96.49,0
0,6,34.7,1,88.87,0
0,4,28.0,0,81.11,0
14,6,25.4,1,98.65,0
1,2,15.6,1,81.27,0
21,4,39.8,1,100.0,0
15,1,19.3,0,100.0,0
7,5,24.3,0,55.53,1
12,2,32.1,0,76.03,0
20,5,22.4,1,100.0,0
0,1,29.9,0,74.57,0
15,1,39.3,0,97.99,0
6,5,29.1,1,60.15,1
4,2,43.5,1,60.79,1
21,5,40.4,1,99.87,0
22,5,25.0,0,100.0,0
2,0,27.0,0,69.04,0
11,2,27.7,1,76.72,0
15,0,33.8,0,100.0,0
18,4,23.6,1,100.0,0
4,6,44.1,0,54.05,1
21,5,33.3,1,99.97,0
13,4,27.0,0,87.28,0
4,2,34.4,1,59.71,1
14,5,26.9,1,96.92,0
16,6,39.5,1,100.0,0
13,4,32.0,0,88.72,0
19,3,16.3,0,100.0,0
4,1,20.3,0,54.35,1
11,5,40.9,1,70.47,0
15,6,31.9,1,100.0,0
15,1,43.5,1,100.0,0
20,0,17.2,1,100.0,0
6,4,23.9,1,64.19,1
3,0,20.8,1,64.61,1
0,6,31.6,1,80.53,0
4,5,26.5,1,62.46,1
22,1,19.7,1,97.09,0
9,1,34.3,0,50.68,1
21,4,31.1,1,100.0,0
4,5,23.2,0,52.12,1
3,3,29.4,1,67.72,0
1,3,37.4,0,63.54,1
19,4,21.2,1,100.0,0
9,5,23.8,0,64.86,1
18,4,25.4,1,100.0,0
0,5,37.4,1,80.32,0
23,6,40.4,1,87.58,0
4,6,26.3,0,65.31,0
12,0,23.9,1,93.6,0
3,4,41.7,0,53.91,1
15,5,45.0,0,100.0,0
23,3,35.1,0,87.47,0
15,5,44.7,0,96.88,0
22,6,34.8,0,100.0,0
1,5,37.0,1,80.51,0
16,4,26.7,0,100.0,0
19,0,28.0,0,100.0,0
23,0,19.3,0,99.96,0
11,0,39.7,0,68.55,0
17,0,42.9,1,100.0,0
2,6,33.7,1,70.84,0
0,2,25.3,1,88.97,0
0,4,19.6,0,88.39,0
18,1,23.0,0,100.0,0
10,4,22.7,0,63.94,1
4,2,33.4,1,53.02,1
11,0,43.4,0,67.27,0
2,2,16.4,1,74.0,0
0,3,15.0,0,84.94,0
0,3,33.0,0,85.93,0
7,6,23.5,1,58.89,1
9,4,41.4,0,68.55,0
10,4,24.8,1,78.78,0
11,1,23.7,0,72.62,0
12,6,23.1,1,78.2,0
11,1,19.3,0,87.37,0
13,3,32.4,0,85.62,0
1,0,20.0,0,79.87,0
18,2,27.7,0,100.0,0
17,1,28.8,0,100.0,0
2,5,15.6,1,78.55,0
22,1,15.5,1,98.91,0
16,0,30.6,0,96.02,0
7,0,35.9,1,55.2,1
9,4,43.3,1,62.29,1
1,2,20.4,1,83.94,0
18,0,18.1,1,100.0,0
8,6,16.6,0,54.83,1
6,1,28.1,1,46.13,1
3,1,33.7,1,59.92,1
20,3,40.2,0,94.76,0
17,0,35.5,0,100.0,0
12,5,21.3,0,84.27,0
10,4,28.9,0,66.91,0
23,2,42.3,0,80.7,0
3,5,24.8,0,61.71,1
20,4,30.0,0,100.0,0
3,1,43.8,0,53.27,1
9,5,37.0,1,55.28,1
4,4,37.4,0,55.72,1
8,1,22.6,1,66.71,0
23,1,27.4,0,85.05,0
2,1,17.5,0,65.31,0
16,1,33.2,1,100.0,0
2,6,18.1,0,66.26,0
15,1,40.1,0,93.58,0
3,3,39.4,1,53.34,1
17,5,31.0,1,100.0,0
16,4,19.2,1,100.0,0
6,3,15.8,1,58.33,1
23,6,38.9,1,88.47,0
22,3,33.0,1,100.0,0
4,0,36.3,0,53.66,1
11,0,24.1,0,77.25,0
16,0,30.3,0,100.0,0
22,2,37.4,0,97.71,0
12,0,28.9,0,78.97,0
22,4,33.0,1,89.82,0
2,3,38.7,1,65.54,0
8,4,21.5,0,63.86,1
16,5,17.0,1,100.0,0
16,0,31.0,0,100.0,0
19,6,16.9,1,100.0,0
15,2,38.0,0,99.45,0
21,5,36.6,0,96.16,0
12,6,41.5,0,73.78,0
18,2,34.2,1,100.0,0
16,5,17.0,1,100.0,0
3,3,22.6,0,55.73,1
11,4,39.2,1,81.67,0
8,1,20.0,0,56.98,1
18,4,36.0,0,100.0,0
11,0,38.4,1,79.84,0
8,6,24.9,0,63.05,1
6,1,24.7,0,67.3,0
13,2,31.7,0,94.1,0
19,3,40.8,1,100.0,0
18,3,21.7,0,100.0,0
14,2,43.2,0,100.0,0
15,0,33.0,0,96.43,0
20,2,44.8,0,95.2,0
4,5,17.7,1,60.76,1
2,6,18.8,0,63.29,1
11,6,39.8,0,66.26,0
19,0,40.9,1,100.0,0
20,1,28.4,1,100.0,0
3,2,36.4,1,55.38,1
20,0,41.0,1,100.0,0
22,6,16.3,1,100.0,0
15,1,32.2,1,100.0,0
6,2,40.6,0,50.11,1
12,3,26.9,0,85.38,0
20,2,24.1,1,100.0,0
9,4,38.9,0,53.02,1
6,2,25.1,1,56.46,1
13,4,15.1,0,99.58,0
4,1,43.8,1,57.09,1
2,2,32.8,1,73.61,0
22,1,39.6,0,86.04,0
10,1,39.8,1,71.84,0
10,6,17.0,0,59.47,1
17,0,20.1,1,100.0,0
14,1,24.3,1,97.2,0
11,1,24.6,0,75.98,0
8,6,34.8,1,60.57,1
9,6,33.7,0,53.61,1
11,2,29.8,0,62.66,1
16,6,21.3,0,100.0,0
5,2,26.5,0,55.02,1
6,3,31.3,0,51.75,1
13,6,29.0,1,100.0,0
12,0,18.8,1,89.1,0
7,1,34.5,0,44.72,1
9,0,17.2,1,74.27,0
8,4,26.3,0,53.08,1
17,6,36.3,1,100.0,0
1,1,15.6,0,73.87,0
4,0,32.1,1,54.23,1
4,6,25.0,0,53.4,1
5,6,15.3,1,68.05,0
18,3,20.7,0,100.0,0
7,3,43.2,0,52.4,1
15,1,30.6,1,96.78,0
12,4,44.9,0,83.53,0
0,3,30.7,0,88.31,0
21,3,31.3,1,100.0,0
19,4,26.8,1,100.0,0
16,0,24.3,0,100.0,0
6,3,22.5,0,49.22,1
12,2,25.3,0,90.82,0
3,5,28.8,0,59.26,1
3,5,20.8,1,63.96,1
5,3,21.7,0,53.89,1
18,0,23.1,0,100.0,0
11,6,28.5,1,77.8,0
21,0,34.6,1,100.0,0
6,1,40.7,0,42.9,1
9,2,23.6,1,69.69,0
18,0,20.5,1,100.0,0
6,4,26.4,1,64.9,1
2,2,41.8,0,62.6,1
12,5,15.3,0,93.65,0
12,2,35.3,0,83.21,0
17,4,29.3,1,100.0,0
19,3,19.8,0,100.0,0
7,4,24.6,0,43.66,1
8,4,21.7,0,51.98,1
6,3,41.3,1,50.92,1
0,3,29.5,0,76.64,0
2,3,31.9,0,62.05,1
12,3,32.8,0,75.82,0
16,3,34.2,0,100.0,0
23,4,29.9,1,93.4,0
0,1,15.5,0,87.46,0
5,1,25.0,0,52.25,1
20,0,20.5,1,100.0,0
5,1,35.4,1,44.12,1
11,5,16.7,1,89.58,0
12,1,31.9,1,80.82,0
12,4,21.3,1,93.33,0
14,3,43.5,0,96.88,0
20,3,25.1,1,100.0,0
15,6,24.8,1,100.0,0
21,6,42.7,1,100.0,0
20,6,27.5,0,100.0,0
10,4,43.9,0,60.83,1
4,5,15.7,0,56.12,1
3,1,24.2,1,61.96,1
2,4,35.0,0,68.79,0
18,0,41.7,1,100.0,0
19,3,22.7,1,100.0,0
17,6,42.9,0,97.1,0
14,2,32.8,0,92.87,0
8,0,39.0,0,51.03,1
16,6,26.9,1,100.0,0
13,5,21.4,0,81.64,0
14,0,42.3,0,85.82,0
0,4,43.0,0,85.1,0
20,1,29.9,0,100.0,0
21,3,15.2,0,96.4,0
21,5,18.3,1,100.0,0
2,5,32.2,1,65.37,0
15,2,15.7,0,100.0,0
22,0,26.9,1,100.0,0
10,2,24.1,1,66.92,0
11,1,36.4,1,73.41,0
9,6,16.7,0,65.47,0
15,1,29.7,1,100.0,0
7,6,32.4,0,45.14,1
5,2,33.5,1,50.35,1
11,3,27.2,0,83.67,0
23,1,24.1,1,93.23,0
20,2,35.5,1,100.0,0
7,0,40.4,0,49.04,1
3,2,35.8,0,62.52,1
7,2,43.0,1,55.26,1
17,4,36.5,0,100.0,0
4,1,37.9,0,52.43,1
8,3,20.0,0,50.8,1
3,3,27.6,0,58.68,1
21,4,29.6,1,100.0,0
16,6,22.7,0,100.0,0
8,5,30.9,1,56.91,1
0,6,23.7,1,87.69,0
20,3,35.6,0,100.0,0
19,2,29.1,0,100.0,0
12,4,28.8,0,85.15,0
15,0,44.5,0,94.78,0
12,1,26.8,1,86.4,0
13,1,25.9,1,100.0,0
2,1,24.6,0,60.63,1
5,2,41.8,1,50.36,1
17,0,29.9,0,99.94,0
18,4,33.0,1,100.0,0
4,4,20.4,1,61.97,1
14,1,31.2,1,100.0,0
1,0,23.2,0,69.71,0
9,0,36.9,0,52.9,1
23,0,40.0,1,90.04,0
17,3,36.4,0,100.0,0
12,3,36.9,0,82.34,0
4,1,30.4,1,51.95,1
22,0,36.4,0,92.34,0
23,5,27.7,0,86.28,0
0,0,34.5,1,81.14,0
21,4,22.8,1,100.0,0
0,4,17.1,1,88.65,0
17,1,27.4,1,100.0,0
14,5,28.9,0,96.04,0
16,0,22.7,0,100.0,0
10,6,36.8,1,67.7,0
20,5,17.2,1,100.0,0
21,1,21.7,0,100.0,0
16,4,37.5,0,100.0,0
12,6,28.1,0,77.81,0
0,4,36.2,1,97.16,0
1,3,32.0,1,80.43,0
8,1,43.5,1,53.67,1
2,1,32.9,1,66.67,0
0,0,15.4,0,80.46,0
20,0,25.6,1,100.0,0
15,3,19.3,1,100.0,0
22,6,42.7,0,90.96,0
5,2,18.1,1,52.57,1
16,5,26.6,0,100.0,0
4,2,21.8,1,65.42,0
4,2,40.4,0,60.13,1
5,1,24.3,0,54.58,1
2,5,44.8,0,65.81,0
20,1,16.2,1,100.0,0
22,5,18.8,1,100.0,0
4,4,21.7,1,52.54,1
20,1,39.3,1,100.0,0
4,1,41.4,1,68.15,0
9,1,17.1,1,65.89,0
9,6,16.0,0,62.9,1
18,3,37.3,1,100.0,0
16,1,19.0,1,100.0,0
20,0,19.0,0,100.0,0
13,0,15.7,0,87.08,0
8,5,16.5,1,67.08,0
13,4,22.9,0,91.38,0
0,3,17.0,1,93.1,0
18,6,26.1,0,100.0,0
12,5,40.0,1,82.31,0
12,0,24.8,0,81.63,0
3,3,36.8,0,57.22,1
0,3,17.8,1,86.84,0
16,4,34.8,1,100.0,0
7,3,24.5,0,55.18,1
1,1,37.5,0,77.19,0
7,3,19.1,0,45.92,1
6,4,41.9,0,58.36,1
1,5,22.3,1,83.02,0
21,4,25.6,0,100.0,0
21,6,43.5,0,92.12,0
2,4,32.4,1,65.73,0
17,0,26.0,1,100.0,0
11,1,43.5,1,74.44,0
0,0,24.9,1,80.08,0
21,5,17.8,1,100.0,0
11,2,44.9,1,69.07,0
4,5,23.0,0,51.98,1
16,1,40.5,0,100.0,0
15,3,20.0,0,99.1,0
14,4,36.9,1,100.0,0
22,2,30.7,1,92.35,0
14,1,44.4,0,95.55,0
4,0,31.6,0,68.84,0
20,4,15.8,1,100.0,0
13,5,33.1,1,89.11,0
1,0,19.4,0,72.93,0
10,1,39.0,0,56.7,1
18,1,40.7,0,100.0,0
6,5,29.5,0,50.98,1
5,2,38.5,0,39.43,1
1,5,19.4,1,73.16,0
5,3,29.8,0,42.31,1
17,0,26.8,0,100.0,0
1,2,33.3,1,71.22,0
17,4,16.3,0,100.0,0
14,6,37.6,1,94.94,0
18,3,17.4,1,100.0,0
1,2,34.7,0,69.54,0
19,6,15.6,0,100.0,0
5,6,40.0,1,49.07,1
0,0,20.2,1,84.25,0
23,1,30.5,1,90.35,0
14,4,22.8,0,100.0,0
22,5,36.7,0,87.59,0
9,0,24.6,0,57.51,1
18,3,36.7,0,100.0,0
16,6,23.5,0,100.0,0
4,3,37.6,1,54.77,1
3,6,15.9,0,65.9,0
9,1,23.5,0,57.0,1
23,1,30.0,1,97.72,0
16,4,16.4,0,100.0,0
9,5,20.6,0,58.75,1
16,4,43.0,0,100.0,0
19,1,44.3,1,100.0,0
23,1,37.2,1,91.42,0
4,3,22.6,0,52.3,1
1,1,22.8,0,75.96,0
5,2,34.4,0,48.86,1
20,6,18.5,1,100.0,0
1,0,43.4,1,65.34,0
12,1,21.7,0,81.4,0
10,4,45.0,0,66.47,0
10,5,29.9,0,66.46,0
15,6,38.1,0,90.95,0
10,6,15.1,1,73.31,0
18,5,41.7,1,100.0,0
14,5,23.1,0,95.52,0
22,6,35.0,1,93.62,0
22,2,39.2,1,100.0,0
15,4,19.9,0,98.83,0
10,2,28.3,0,64.39,1
21,1,29.8,0,98.19,0
15,0,24.4,0,100.0,0
7,5,29.5,1,58.59,1
3,4,24.5,0,55.95,1
7,5,25.8,0,48.78,1
3,2,35.1,0,57.96,1
23,3,34.0,0,87.66,0
2,1,22.0,1,71.27,0
2,0,41.9,0,59.89,1
17,1,40.9,0,99.57,0
18,3,30.3,1,100.0,0
18,0,28.0,0,100.0,0
20,3,26.3,0,100.0,0
4,1,36.2,0,57.03,1
17,2,35.1,1,100.0,0
9,6,20.9,0,57.45,1
21,1,35.1,0,100.0,0
20,1,22.6,0,100.0,0
5,1,15.6,1,68.76,0
0,4,36.0,0,74.52,0
4,3,34.3,0,47.9,1
8,3,27.3,0,65.33,0
11,5,30.8,1,82.93,0
13,3,43.4,1,91.92,0
1,5,32.9,0,67.96,0
16,4,34.7,0,100.0,0
